ID	TCGA-CV-6959-11A-01R-1915-07	TCGA-CV-6961-11A-01R-1915-07	TCGA-HD-8635-11A-01R-2403-07	TCGA-CV-7255-11A-01R-2016-07	TCGA-HD-A6HZ-11A-11R-A31N-07	TCGA-CV-7406-11A-01R-2081-07	TCGA-CV-6939-11A-01R-1915-07	TCGA-H7-A6C4-11A-21R-A466-07	TCGA-CV-7103-11A-01R-2016-07	TCGA-CV-6933-11A-01R-1915-07	TCGA-CV-6943-11A-01R-1915-07	TCGA-CV-7438-11A-01R-2132-07	TCGA-CV-6956-11A-01R-2016-07	TCGA-CV-7238-11A-01R-2016-07	TCGA-CV-6934-11A-01R-1915-07	TCGA-CV-7104-01A-11R-2016-07	TCGA-F7-A61W-01A-11R-A28V-07	TCGA-F7-A620-01A-11R-A28V-07	TCGA-C9-A47Z-01A-11R-A24H-07	TCGA-CV-7446-01A-11R-2232-07	TCGA-HD-7831-01A-11R-2132-07	TCGA-CV-5979-01A-11R-1686-07	TCGA-CV-6952-01A-11R-1915-07	TCGA-CV-7180-01A-11R-2016-07	TCGA-CV-A465-01A-11R-A266-07	TCGA-CV-6950-01A-11R-1915-07	TCGA-CN-6998-01A-23R-2016-07	TCGA-CR-6493-01A-11R-1873-07	TCGA-DQ-7591-01A-11R-2081-07	TCGA-WA-A7H4-01A-21R-A34R-07	TCGA-CQ-A4CE-01A-11R-A266-07	TCGA-CV-6961-01A-21R-1915-07	TCGA-CV-7438-01A-21R-2132-07	TCGA-BB-4225-01A-01R-1436-07	TCGA-C9-A480-01A-12R-A24H-07	TCGA-CN-A6UY-01A-12R-A34R-07	TCGA-CN-6017-01A-11R-1686-07	TCGA-BB-4228-01A-01R-1436-07	TCGA-CV-6959-01A-11R-1915-07	TCGA-F7-A50G-01A-11R-A266-07	TCGA-CV-6441-01A-11R-1686-07	TCGA-CR-6472-01A-11R-1873-07	TCGA-CN-4742-01A-02R-1514-07	TCGA-BA-4074-01A-01R-1436-07	TCGA-DQ-5631-01A-01R-1873-07	TCGA-BB-A6UO-01A-12R-A34R-07	TCGA-CV-6943-01A-11R-1915-07	TCGA-CV-6941-01A-11R-1915-07	TCGA-CR-5250-01A-01R-1514-07	TCGA-F7-A50J-01A-21R-A28V-07	TCGA-QK-A652-01A-11R-A30B-07	TCGA-CV-A6JO-01B-11R-A34R-07	TCGA-CV-A45P-01A-11R-A24H-07	TCGA-CV-5977-01A-11R-1686-07	TCGA-MT-A67A-01A-11R-A30B-07	TCGA-D6-A4Z9-01A-11R-A24Z-07	TCGA-D6-6825-01A-21R-1915-07	TCGA-CV-7406-01A-11R-2081-07	TCGA-CV-6939-01A-11R-1915-07	TCGA-P3-A5QE-01A-11R-A28V-07	TCGA-P3-A5QA-01A-11R-A28V-07	TCGA-CQ-6218-01A-11R-1915-07	TCGA-CR-6488-01A-12R-2081-07	TCGA-CN-5370-01A-01R-2016-07	TCGA-IQ-A61J-01A-11R-A30B-07	TCGA-CQ-5325-01A-01R-1686-07	TCGA-CQ-6229-01A-11R-1915-07	TCGA-UP-A6WW-01A-12R-A34R-07	TCGA-CN-A642-01A-12R-A30B-07	TCGA-CR-7394-01A-11R-2016-07	TCGA-CV-6003-01A-11R-1686-07	TCGA-CN-4736-01A-01R-1436-07	TCGA-CQ-7065-01A-11R-2081-07	TCGA-BA-A6DB-01A-11R-A30B-07	TCGA-CR-7397-01A-11R-2016-07	TCGA-CQ-5330-01A-01R-1686-07	TCGA-IQ-A6SH-01A-12R-A34R-07	TCGA-BA-A6DE-01A-22R-A31N-07	TCGA-CV-6433-01A-11R-1686-07	TCGA-CQ-A4CA-01A-11R-A24Z-07	TCGA-HD-8314-01A-11R-2403-07	TCGA-CV-6945-01A-11R-1915-07	TCGA-BA-4075-01A-01R-1436-07	TCGA-KU-A6H8-01A-21R-A34R-07	TCGA-UF-A7JS-01A-11R-A34R-07	TCGA-CQ-6219-01A-11R-1915-07	TCGA-MZ-A7D7-01A-21R-A34R-07	TCGA-QK-AA3K-01A-11R-A39I-07	TCGA-BB-4224-01A-01R-1436-07	TCGA-IQ-A6SG-01A-12R-A34R-07	TCGA-CN-4737-01A-01R-1436-07	TCGA-DQ-5624-01A-01R-1873-07	TCGA-CQ-6224-01A-11R-1915-07	TCGA-CR-7392-01A-11R-2016-07	TCGA-DQ-5625-01A-01R-1873-07	TCGA-CV-5973-01A-11R-1686-07	TCGA-CV-6933-01A-11R-1915-07	TCGA-CV-7236-01A-11R-2016-07	TCGA-IQ-A61H-01A-11R-A30B-07	TCGA-CV-6951-01A-11R-1915-07	TCGA-CN-4733-01A-02R-1873-07	TCGA-BA-7269-01A-11R-2016-07	TCGA-CN-6996-01A-11R-1915-07	TCGA-CV-7238-01A-11R-2016-07	TCGA-MT-A51X-01A-11R-A266-07	TCGA-CV-6954-01A-11R-1915-07	TCGA-CQ-A4CH-01A-11R-A266-07	TCGA-T2-A6WZ-01A-21R-A34R-07	TCGA-CV-6956-01A-21R-2016-07	TCGA-CQ-5333-01A-01R-2403-07	TCGA-CQ-7072-01A-21R-A30B-07	TCGA-IQ-A61E-01A-22R-A30B-07	TCGA-HD-8635-01A-11R-2403-07	TCGA-CV-A6JT-01A-11R-A31N-07	TCGA-CN-5367-01A-01R-1436-07	TCGA-CV-5971-01A-11R-1686-07	TCGA-BA-6871-01A-11R-1873-07	TCGA-CV-A45T-01A-11R-A24H-07	TCGA-F7-A61S-01A-11R-A28V-07	TCGA-CR-6477-01A-11R-1873-07	TCGA-CV-6436-01A-11R-1686-07	TCGA-CR-7372-01A-11R-2016-07	TCGA-D6-A4ZB-01A-11R-A24Z-07	TCGA-HD-8224-01A-11R-2403-07	TCGA-CR-7390-01A-11R-2016-07	TCGA-CV-5439-01A-01R-1686-07	TCGA-CQ-5327-01A-01R-1686-07	TCGA-CR-7393-01A-11R-2016-07	TCGA-CN-4725-01A-01R-1436-07	TCGA-CV-A45R-01A-11R-A24H-07	TCGA-H7-A6C4-01A-11R-A30B-07	TCGA-D6-6515-01A-21R-1873-07	TCGA-CV-5976-01A-11R-1686-07	TCGA-CV-7255-01A-11R-2016-07	TCGA-CX-7085-01A-21R-2016-07	TCGA-CN-6016-01A-11R-1686-07	TCGA-CN-6024-01A-11R-1686-07	TCGA-CR-7401-01A-11R-2016-07	TCGA-DQ-7592-01A-11R-2081-07	TCGA-4P-AA8J-01A-11R-A39I-07	TCGA-CV-5970-01A-11R-1686-07	TCGA-CV-7103-01A-21R-2016-07	TCGA-D6-8569-01A-11R-2403-07	TCGA-CQ-6222-01A-11R-1915-07	TCGA-CV-A6K0-01B-21R-A31N-07	TCGA-CN-A498-01A-11R-A24H-07	TCGA-HD-8634-01A-11R-2403-07	TCGA-HD-A6HZ-01A-12R-A31N-07	TCGA-CR-7382-01A-11R-2132-07	TCGA-BA-6873-01A-11R-1873-07	TCGA-BA-A6DG-01A-21R-A30B-07	TCGA-CN-6019-01A-11R-1686-07	TCGA-F7-A61V-01A-11R-A28V-07	TCGA-BA-4077-01B-01R-1436-07	TCGA-CN-A6V6-01A-12R-A34R-07	TCGA-CR-7391-01A-11R-2016-07	TCGA-CQ-5329-01A-01R-1686-07	TCGA-CQ-6221-01A-11R-2081-07	TCGA-DQ-5630-01A-01R-1873-07	TCGA-CV-6934-01A-11R-1915-07	TCGA-D6-6823-01A-11R-1915-07	TCGA-CV-A6JU-01A-11R-A31N-07
CASP4	6.763785	7.159036	13.83118	9.823576	5.848245	3.420777	2.843872	4.655111	5.358339	5.596159	7.24565	8.871144	12.8023	3.958878	11.38928	19.88859	12.2624	19.72362	12.32192	6.306522	5.055396	4.951847	18.25889	12.79395	22.60835	4.638973	15.58508	6.057601	3.828902	11.38359	22.83299	8.223357	7.237117	5.002975	23.56649	2.021694	11.89701	1.75243	12.93381	12.85703	13.2577	3.972961	15.01886	10.30321	9.064901	12.14328	10.28708	7.10055	3.4892	14.84297	14.9481	14.43063	24.27379	6.421818	11.57393	7.004611	7.153118	2.540671	7.17603	6.287533	5.089964	18.20497	6.94962	15.81859	9.273379	25.45817	7.224141	4.064365	17.38037	15.06383	9.161833	17.05805	14.39736	14.5632	5.377017	11.04017	16.92791	14.04886	4.750985	11.17963	3.968298	5.979954	27.56376	6.28329	7.249883	15.09655	10.57465	7.260654	10.70951	9.378632	12.40208	10.55172	7.336645	16.02199	15.37357	11.30331	5.39649	10.92522	5.546516	8.568304	20.5523	0.6441125	20.9296	13.17707	14.46406	24.44492	11.77252	6.324791	7.671153	21.05088	5.013006	16.43333	22.17349	8.760893	3.998303	7.556486	4.169259	18.22413	20.20339	3.402647	13.00072	9.383181	13.70832	5.906443	5.21273	16.2206	18.98612	7.130949	10.22653	7.831135	17.45243	12.55682	32.83652	16.76552	15.29168	6.167931	2.418563	8.128769	8.731271	12.01391	9.138752	3.031948	10.25343	13.41663	8.722174	4.761159	16.8082	7.568785	10.81085	8.672576	7.079813	6.190411	9.093988	9.206067	9.46136	7.438336	7.683802	3.672256	27.43869	7.117751	6.237504	10.41983
CASP8	1.899685	1.395755	3.700145	2.769695	0.6985422	0.5689974	0.6974789	0.9174032	2.53758	0.6874295	2.032596	2.508636	2.054754	0.993592	3.36428	5.424542	4.607023	3.503372	2.921633	7.564021	1.805469	2.942766	4.154832	2.728109	2.134663	2.332913	2.748434	3.293409	6.409219	3.592389	3.524281	4.745079	3.658333	3.873607	3.150839	2.207082	3.996236	2.160326	3.955612	2.90492	8.182785	2.705535	2.039981	2.919017	5.360825	4.542381	3.256579	2.338586	3.120853	2.423695	5.149417	5.317222	2.065092	2.546532	4.004749	4.296734	6.55296	1.168234	4.654344	6.663297	3.058014	3.320632	3.631462	4.814783	4.186158	4.79048	3.400546	2.770301	5.435139	4.120818	5.555677	4.690535	2.898079	3.336689	3.228111	4.690097	8.223919	5.712997	2.073623	4.115324	3.756557	1.978576	2.65285	2.115411	0.7084391	5.085788	1.689254	3.384457	3.307006	1.413992	3.674842	3.621799	2.915701	4.12271	3.479905	1.657599	2.793162	3.362097	5.746803	2.34392	5.053167	1.445208	5.405002	2.924197	5.429397	6.536524	3.453376	0.6939854	3.764645	3.398527	3.067784	4.259592	4.58517	1.69806	3.301843	1.992118	1.655073	4.062108	4.966193	1.564918	2.993795	3.096647	5.55355	6.308443	1.867371	3.668822	3.560532	3.338783	3.62562	1.999596	2.748685	4.986514	4.120774	3.560614	3.886175	1.942478	1.498677	2.47739	1.896263	2.852299	3.090378	1.454133	10.09088	2.44775	4.473864	2.384852	3.027642	3.806974	7.626114	2.648824	2.071087	1.626535	2.490525	4.798437	3.124207	2.755226	4.60086	3.046374	5.137794	1.607702	3.566959	1.585778
CCL2	9.988811	15.44046	14.06455	19.86922	47.54979	72.67742	15.2521	17.26237	13.51052	5.881722	14.16485	15.24325	12.70232	33.53031	16.74552	17.00449	1.69205	13.57859	4.685515	19.3014	8.807292	1.768868	4.613781	3.657281	1.595324	2.74222	2.184635	5.291514	19.64935	9.267806	5.581886	16.12631	4.225582	3.277568	6.539041	4.249553	114.5061	4.636702	9.321565	5.415537	0.2560773	2.757313	9.390399	15.55699	1.570834	11.33094	26.45083	5.666625	3.577712	8.230489	11.33309	3.89207	1.317537	2.645292	2.998365	7.968964	10.48513	24.34839	31.14086	2.171759	4.262445	11.38698	13.33666	35.0619	8.187046	12.95436	1.542591	7.477549	2.420489	7.327958	1.712483	9.756336	0.3593915	22.77375	10.57748	6.587214	8.666906	8.730899	5.066285	14.46044	3.467595	0.4825463	21.33332	14.07955	2.09544	9.364931	2.146403	8.601016	0.4066535	1.908269	9.973552	7.701449	4.590201	17.02383	10.68081	1.810472	7.743711	13.80095	15.06971	1.160775	37.86074	6.381269	12.30643	7.80574	6.949496	13.52178	3.174546	24.46619	0.6654487	6.722895	3.350268	2.623797	14.58803	3.62888	2.244454	46.80837	16.48498	25.23829	11.19469	8.098935	9.582284	9.443302	12.20103	8.760603	8.204288	4.43658	2.910513	34.74593	6.25144	4.665687	3.976457	100.5185	4.149629	1.543515	28.83779	5.119495	3.417238	7.566477	5.281099	11.84237	6.468095	5.962551	10.12364	9.860943	30.2158	12.46975	4.021362	10.00682	59.15157	2.544999	13.0955	52.94799	2.913015	22.87482	8.243088	12.34993	3.872186	139.7557	34.70341	40.93953	5.802831	2.465384
CCR2	1.66008	0.2039399	1.88546	0.2348051	0.4197229	0.1296369	0.3765208	0.2450729	1.28441	0.6069306	0.8289452	1.02821	0.492869	0.6710798	0.2041052	0.8509401	0.0114674	1.450125	0.1441204	0.1989698	0.5496122	0.07313927	0.1933407	0.05607253	0.04364902	0.2336626	0.03255607	0.1054033	0.9347381	0.6362041	0.3048469	0.3413305	0.411347	0.7600764	0.2717091	0.4030417	2.57375	0.3613447	0.8231569	0.9288888	0.03667896	0.3372237	0.4632607	0.2283431	0.07291362	0.03868359	2.346915	0.4269008	0.3555774	0.1183437	0.9804883	0.1297385	0.03976994	0.05608911	0.1397825	0.469307	1.487816	0.1309274	0.5958183	0.5478197	0.02805366	0.3367787	0.4965168	1.540589	0.5159155	3.31831	0.1518433	0.4094558	0.1642781	2.243382	0.02980107	0.7988956	0.004345466	1.71336	1.029523	1.032626	0.1375566	0.08649797	0.2409541	0.7292063	1.336611	0.04344498	0.2344723	0.5569135	0.1082329	0.3605868	0.02468999	0.06422234	0.02110677	0.141003	0.7407302	0.1883798	0.3678388	2.049367	0.1378798	0.04428471	0.3223854	0.1358199	0.1548654	0.01436154	7.664997	0.01875641	2.836458	0.4400543	0.1458056	0.06114683	0.2756358	0.07663087	0.01561882	0.3659516	0.2080234	0.0421401	0.9684557	0.1485082	0.1141096	2.927069	0.26085	0.7907397	0.2448538	2.007711	0.1137377	0.520039	0.1702804	0.8189805	0.1695059	0.1032344	0.535994	5.592709	0.2418792	0.2503059	0.1214207	2.406598	0.04705474	0.4790149	4.81431	0.1423159	0.02972225	1.073759	0.2408235	0.5019092	0.3000417	0.2042817	0.2241011	0.7161963	2.583197	0.1860955	0.2569685	1.729197	3.027277	0.3544423	0.591674	0.2732143	0.154404	0.9474759	0.9265968	2.88366	0.4687931	0.7006296	0.5218947	1.401243	0.2593732	0.1858119
CD46	6.894315	5.391962	28.5947	27.69986	6.038882	11.12367	12.60396	5.358029	8.751503	25.15205	18.31527	12.31161	19.25756	16.05793	17.89802	12.95297	15.91773	10.18407	10.59226	46.78836	13.30132	24.90955	11.30085	9.367423	15.48708	8.486024	8.820406	11.53723	26.33269	29.18633	12.40819	28.31957	15.24305	17.60272	14.05847	15.71474	8.517384	23.03312	16.28147	13.46912	26.73041	27.3899	9.967804	30.63399	25.78828	8.824985	10.81881	14.59713	21.84697	9.425532	16.25371	14.90761	13.42169	9.888901	9.534784	14.24574	15.15872	17.14848	25.86976	28.52059	17.92709	10.57528	17.85177	15.23061	17.96728	12.08571	8.9968	16.99869	22.33115	11.38802	8.48463	11.38181	12.14945	13.1317	10.75628	12.76281	11.95883	20.76508	23.39962	12.32428	26.13357	7.822191	41.81427	11.29246	5.266168	14.89233	42.42171	8.293785	22.8444	17.7815	12.74268	18.95167	9.707999	14.49583	18.27128	8.913103	19.16937	22.34094	45.50687	20.00893	17.55534	11.20661	16.39368	14.62275	11.92727	13.05706	16.3793	5.256096	24.12192	13.88818	17.9225	14.81094	20.469	6.491312	16.33312	8.918692	31.74862	11.38128	10.56447	9.529441	3.717783	5.422063	17.18638	35.44689	12.80718	20.19041	12.48648	11.47422	16.97065	28.42851	12.0559	12.5663	20.95842	22.22723	11.89149	9.734069	17.18194	8.436329	19.1721	13.69673	16.27693	12.25523	19.02808	17.55983	20.928	30.78298	11.29513	24.38354	15.2947	11.47181	19.84118	19.72929	10.49002	26.71723	39.28529	10.8423	18.75203	9.369109	33.0647	11.91292	16.43439	6.409885
CDKN1A	68.981	169.56	103.781	155.183	59.79409	158.8257	45.65623	85.95237	66.68545	5.320004	92.62349	68.8906	181.5013	63.36899	108.9178	173.2605	89.25073	155.5089	224.36	153.8078	134.5922	102.5455	170.3781	99.73867	162.8646	119.9389	257.1454	74.70568	32.54049	57.03773	134.9703	195.7818	98.94194	66.11034	155.8075	106.2438	117.8981	101.8854	125.3912	181.3001	23.74821	29.29764	94.60747	106.8977	115.8011	73.39446	127.8249	103.8264	91.11751	157.7285	138.6415	175.617	153.0428	193.4977	93.93555	84.96618	98.65572	207.7196	83.81935	68.36615	74.5889	251.228	100.6516	86.22583	123.2048	114.904	162.3013	58.71773	42.1265	109.0516	112.4667	150.7921	137.7668	116.91	58.52394	61.55822	126.9436	166.9959	128.7256	105.9696	68.52136	155.311	176.0068	50.68568	70.06337	114.5532	83.62332	115.7836	208.21	105.3073	141.7635	124.4225	137.3768	92.28081	271.0371	170.9992	105.664	143.089	66.11478	113.1703	113.3652	70.86708	124.3179	104.5455	147.3732	186.2848	154.971	150.441	74.40106	58.21866	95.11885	127.272	117.7642	125.9559	65.91083	82.78884	24.98883	112.1209	122.9414	141.5934	93.7513	116.8648	138.1522	79.03299	94.59328	132.6295	119.2987	123.5862	118.1587	144.7287	169.4222	48.82617	102.0625	155.6708	165.0163	80.23936	165.399	138.6465	121.0735	75.62405	166.614	60.29433	84.94606	95.8866	71.8139	212.2312	157.0881	66.67567	118.141	98.89227	173.2698	117.7144	41.54767	145.9907	84.26922	96.10857	58.48434	89.98293	247.2606	100.8878	65.10555	68.84184
CDKN1B	19.69342	7.728148	21.25676	7.901413	14.64312	8.952185	18.30503	11.75924	18.66968	9.367965	16.78498	13.52796	10.83609	16.99206	19.15428	10.11991	13.03574	13.91221	8.669326	24.7401	11.89931	12.31592	6.982643	11.81002	10.92333	12.03022	10.63565	11.48964	19.79842	16.49996	11.66346	11.8181	15.01601	35.08484	11.97823	30.32459	19.58407	36.69366	18.57459	14.41943	13.81264	23.17531	10.90642	9.822956	7.377631	8.228033	17.29891	19.95335	29.70035	8.213684	15.90783	10.7924	10.32521	9.635803	7.359716	12.56281	17.794	13.11097	26.15832	33.75614	10.45629	9.040662	20.26439	18.7105	14.84256	16.53976	11.86839	22.01679	20.42267	15.22301	9.582982	16.72052	7.426977	19.03157	13.1495	8.622205	14.41669	9.499671	42.19354	14.08999	22.48353	12.23654	11.56549	22.03207	6.352998	16.14686	15.21374	11.7483	52.28247	20.00916	14.18652	10.65	13.40178	16.82681	10.69216	7.123357	22.9521	9.204097	21.70512	18.88772	21.78265	8.350561	16.84228	9.350254	14.34241	21.68115	14.3955	4.753906	15.52865	14.65284	16.90803	8.820999	9.552666	7.40665	14.6017	22.73478	27.26794	19.27242	12.06937	12.19007	4.110538	15.81004	10.46538	22.82979	11.53092	14.43236	13.7878	22.44203	11.56374	10.98323	10.27635	16.32704	14.12762	9.664441	18.50419	11.60039	44.0234	9.65398	24.82103	12.45366	9.668747	27.33841	11.82486	11.67483	18.11045	14.63436	12.22957	26.58001	12.9479	31.24496	15.91781	16.59382	22.02368	7.436456	32.9234	15.96015	18.66791	9.298702	9.912876	19.17212	11.65239	7.598684
CDKN2A	0.2906932	1.58276	0.9209515	2.005679	1.010408	1.045768	0.02352774	0.2891914	1.774963	0.1159564	0.801464	1.247745	1.364763	0.2735617	1.173365	1.906204	0.01483291	26.10831	13.72587	0.0671386	6.525104	6.130379	0.2392102	14.30756	17.31421	6.659597	2.035356	38.94714	29.27277	0.2097642	4.391855	29.3542	0.1278621	38.14614	2.502002	31.30688	0.9639845	36.8556	4.442242	0.1312378	0.0271107	42.9215	0.09267953	0.435775	5.240402	0.45033	12.47832	3.931745	36.79023	16.48923	7.050922	0.9979395	3.232263	23.90208	5.750363	0.1136783	3.409924	65.87115	27.10042	30.81753	17.40567	0.8332068	0.1601508	10.60448	13.41745	12.32628	38.84185	50.05478	0.7905595	1.220872	7.213844	3.952149	7.10469	4.052493	0.3486057	38.15058	44.54355	0.03729463	183.0739	0.2043639	24.64865	9.730329	4.895913	0.5618806	0.20533	11.96371	0.6493683	0.7684039	29.79483	0.08337615	6.739457	19.60936	4.540605	9.363404	0.180147	23.30408	11.69358	3.465397	2.485975	26.86154	5.504759	17.2052	3.166326	0.4936785	19.72191	14.37934	4.909324	30.15165	1.872119	0.5835046	0.4036129	0.04996532	3.599666	17.94293	0.09839947	8.730733	0.4316363	21.7843	3.8751	0.1211195	4.795351	5.677596	0.3817758	9.501956	7.849276	14.68854	0.1369483	1.510535	1.671523	31.31098	3.572016	5.958271	24.24441	5.002973	0.3117723	0.4104852	15.09619	6.020504	16.674	0.4612825	0.08085409	19.80935	0.1674813	0.1543983	7.375003	0.229869	0.4019541	10.71381	0.2701632	5.428239	2.491548	4.029227	2.672787	40.85645	77.93863	3.699368	34.20765	0.2233597	1.709335	8.210093	0.1009214	2.624945
CFLAR	4.62615	3.222846	5.451989	7.634508	4.25686	4.669586	3.982922	4.706251	3.126187	2.88874	4.847632	3.842984	5.989835	4.656092	6.575432	6.447342	3.244454	5.433733	2.533091	6.158717	2.66309	2.632246	4.861822	2.075627	3.457152	2.779705	6.26135	2.952325	8.213744	4.612014	4.982437	3.147356	4.282933	5.918571	5.760344	9.677278	6.298961	4.604705	4.300358	4.526132	4.19529	2.685828	4.377842	3.16581	3.199302	4.823356	4.893469	3.11386	8.825614	3.01157	5.749479	4.935793	5.196042	2.560027	2.895203	5.582337	7.8387	2.771453	8.921408	11.25	3.585484	4.962518	4.706439	7.264564	4.613214	6.081738	6.848328	7.839518	3.722181	5.899967	1.786132	4.957484	2.284665	4.874961	4.427289	5.18551	6.826895	5.249279	6.350011	4.882446	5.482614	1.81277	2.143307	4.046443	5.247467	4.215901	2.730789	2.571249	3.24903	2.716214	4.194773	4.863265	2.514187	5.046158	3.673414	2.566419	4.881885	4.714804	4.226138	4.077171	5.190768	2.631607	5.039882	3.696766	4.235701	3.465699	4.416915	1.919143	2.577648	2.97466	2.971381	3.558462	4.35595	3.579928	2.684216	4.710797	3.356146	4.554998	4.80655	2.610044	1.886626	3.688349	6.40143	8.976141	3.02494	5.546905	6.234172	4.811865	2.337373	3.974695	6.377758	4.921803	5.598791	2.616797	8.867928	3.709597	2.863832	2.82021	2.986139	4.593779	5.623364	1.568548	6.078671	4.62969	5.294453	3.616929	4.821335	6.925073	5.64908	2.770892	3.225481	4.293348	1.472522	4.623345	5.397159	4.7142	2.665117	2.523079	6.674572	3.922054	2.214914	5.585409
CHMP2B	16.22148	17.97844	15.28411	17.18786	7.650845	16.33956	8.263556	11.70429	12.20604	7.351285	22.57233	14.47049	14.02584	13.59402	16.36291	12.87824	8.868902	9.803575	13.60689	19.07884	8.500552	10.21441	17.32166	10.89051	14.44408	12.18377	12.02014	8.461224	17.9749	13.4373	11.99597	12.01505	10.19812	11.7628	18.55551	9.983237	9.764225	20.16835	10.01489	12.703	11.63798	17.69126	27.70972	18.39635	20.13525	9.91066	13.26543	9.700878	11.94085	10.63008	9.203383	11.43891	14.77561	9.088319	8.449416	6.806563	11.31445	14.767	28.06129	14.5448	14.9253	10.43711	14.34016	10.94229	20.14378	10.59985	12.54874	17.01162	13.94822	17.41875	11.46654	9.545516	11.16085	13.16437	11.80342	8.214398	5.878948	11.04045	15.13975	8.471956	13.29487	7.846505	29.34794	9.973109	2.276428	11.99716	18.68726	10.50704	12.69011	8.880064	6.964615	15.96173	10.13131	9.951584	14.79869	9.600341	9.078903	11.66188	15.31974	11.32875	9.734945	13.17058	13.03376	9.381324	15.12688	15.44163	13.84138	9.249485	9.241957	10.6139	11.50644	15.10541	9.014633	5.341394	16.26634	12.26321	9.96868	13.55356	9.512227	9.473267	8.113983	13.22024	10.81394	12.14276	7.914664	10.22483	13.39088	13.64244	10.3645	18.77709	9.586581	13.39671	11.07978	10.6775	16.5466	9.808535	12.68138	8.627238	8.610777	7.048246	11.60714	8.500532	9.013904	12.09924	14.53736	21.53201	14.30011	12.97688	14.24505	13.29097	14.28153	13.29553	6.185769	11.65334	15.46353	13.38323	17.84715	18.60196	12.64855	11.87261	11.94087	5.28089
CHMP4B	80.68641	79.10164	87.13628	108.2924	114.8426	82.82444	63.61084	76.99379	81.11421	48.30014	85.08349	106.5528	104.3766	76.66051	131.2649	94.15374	120.2961	143.5693	90.03008	73.71039	86.33432	75.01936	77.55405	111.6791	155.0884	74.38704	96.62	69.58248	100.1592	105.6472	87.52971	106.8413	109.5619	124.1537	95.99751	355.8864	86.06723	176.3021	313.3946	99.429	140.654	125.0188	151.5946	64.36801	137.6578	90.12936	106.876	78.66194	85.32654	185.8843	186.0237	96.12131	67.02625	92.14321	141.5383	94.27287	99.91366	143.1403	219.6821	89.39723	160.0768	92.99119	94.48601	91.8736	100.6248	80.98578	176.7514	139.1646	108.1775	73.35451	312.4428	103.1156	100.1976	153.5988	116.9029	124.1947	176.661	108.8257	289.8298	136.1477	124.8213	143.7998	75.57393	112.5113	119.4672	343.3192	102.0508	100.8635	301.6914	95.39607	92.21267	134.9592	118.4838	86.82148	75.34189	139.93	117.8913	92.46307	107.7173	124.3012	112.5464	147.9474	69.99487	90.50875	135.4472	234.0284	125.7402	174.488	145.987	125.2911	133.3317	116.9663	83.50797	172.519	87.69345	220.249	80.95957	110.4836	204.4029	116.7845	99.522	103.4404	111.0662	99.01546	58.24058	133.2292	86.80233	75.09174	82.53592	177.824	114.608	79.41709	123.8623	122.3615	72.07061	105.7099	95.47186	78.37207	129.8972	123.1601	113.1602	126.5582	142.2744	110.4509	105.8486	81.07926	82.80962	78.24839	77.49941	71.88005	108.6468	102.6813	130.3563	93.55651	107.2541	79.77692	97.79816	89.31957	115.3755	115.9014	84.64893	343.7936
CLN3	2.186841	1.752758	2.272101	2.104534	4.437016	1.093971	1.889749	1.446118	2.4513	3.76372	1.860128	2.258719	3.338208	1.962432	4.174844	3.122847	3.352245	4.445274	2.149967	2.571998	3.075214	2.603746	1.759236	3.50184	3.882731	1.609634	2.200821	2.906898	4.446413	3.620777	2.649542	2.272848	1.906687	3.345503	2.554663	7.274874	3.022648	4.761411	1.566148	2.771889	5.818067	7.75291	2.339146	1.551268	2.464048	3.383926	2.763326	5.873532	4.377378	2.684647	3.293942	3.702119	2.146824	4.823229	2.738273	3.744221	2.223349	3.401284	4.409016	3.937406	2.034688	3.256361	3.037514	2.939298	3.35182	3.121273	2.528056	3.180413	4.86745	2.567415	2.998182	4.167029	4.041873	3.313344	2.945487	3.221262	5.364605	3.422923	3.136563	4.440994	4.266664	3.37185	2.42478	2.553025	21.93196	4.134002	1.148252	3.293453	4.369033	2.833818	3.494278	1.852201	2.494771	3.875149	4.271426	3.903011	4.641663	3.486708	2.216089	3.832525	3.606539	6.791482	2.749295	3.856798	3.814284	5.218507	3.874815	6.718595	3.575697	4.897044	3.070397	1.889808	3.233766	3.731961	5.049652	2.608508	4.206726	3.287753	3.104014	2.627979	2.381659	3.867649	4.711921	5.608109	1.963756	5.327192	2.864503	2.666162	2.781567	2.754326	2.361919	2.723728	4.506989	2.843981	2.5601	2.999587	3.159512	2.549979	3.124979	5.117072	3.071899	3.786749	2.611759	2.959058	2.95702	4.068379	2.064586	2.634662	2.601861	2.113481	2.866339	4.13048	2.859035	3.19455	4.540747	2.567981	3.619054	2.676545	3.304348	3.476619	3.446462	11.06513
